First Name,Last Name,Citizenship No,Sex,Date of Birth,Height (ft),Height (in)
Ashley,Blake,508958633,Male,2001-03-03,4,10
Kevin,Randolph,253216562,Male,1965-07-01,6,1
Tanya,Cherry,130950250,Female,1985-12-15,6,10
Brad,Hicks,878676567,Female,1958-01-04,5,8
Tiffany,Murray,746747362,Male,1985-03-25,5,6
Heather,Martin,629446130,Male,1955-02-08,5,4
Kevin,Hess,464736625,Male,1960-11-23,4,3
Heather,Hines,538076273,Female,1973-05-01,6,7
Jose,Murphy,635017087,Male,1987-07-17,5,7
Angela,Melendez,423142253,Female,1948-05-04,6,6
Steven,Thompson,406673391,Male,1951-04-12,6,7
Christopher,Evans,387975866,Male,1955-01-04,5,0
James,Morrison,770419426,Male,1974-09-01,5,3
Matthew,Haley,330153785,Male,1985-12-05,4,3
Richard,Fitzpatrick,287675017,Female,2004-01-28,5,1
William,Clarke,717509971,Male,1985-07-31,6,6
Jeffrey,Gonzalez,821774642,Male,1944-12-11,6,5
Emily,Sanchez,238925357,Female,1959-08-03,5,1
Joel,Martin,640626539,Male,1977-10-13,6,3
Candice,Greer,796154217,Female,1968-08-17,5,10
Hailey,Miller,677185075,Female,1981-02-02,4,6
John,Baker,456223025,Female,2000-09-26,6,11
Rachel,Hoover,984478848,Male,1990-04-15,6,9
Michelle,Norton,251185076,Male,2001-04-23,6,7
Leslie,Hayes,154473439,Male,1955-01-09,5,11
Joshua,Foster,987128538,Male,1960-07-27,6,0
Paul,Curtis,800092764,Female,1967-05-06,6,5
Tonya,Jackson,148522357,Female,1993-09-03,6,4
Laura,Wolfe,290703242,Male,1997-02-13,4,11
Rebecca,Beck,292083458,Female,1950-02-23,4,3
Briana,Vaughan,295414158,Female,1980-10-01,4,6
Rebecca,Edwards,763407450,Female,1963-12-31,5,10
Paul,Gomez,155773192,Female,1964-07-06,5,9
Leslie,Campbell,677525184,Male,1952-08-12,6,9
Haley,Gonzalez,831090958,Female,1958-08-06,5,0
Carl,Vincent,821503796,Male,1957-03-17,4,5
Brian,Perez,428515084,Female,1961-06-12,6,3
Wendy,Clark,215371612,Female,2001-10-05,6,8
Brandon,Jackson,343808220,Female,1983-11-23,4,1
Amy,Park,832496363,Female,1954-04-21,5,10
Kim,Rodriguez,789756508,Male,1975-09-24,5,3
Robin,Carter,585003136,Male,1996-01-18,4,10
Billy,Jones,228700962,Female,1967-12-19,4,3
Karen,Hicks,603995292,Male,1958-07-18,5,9
Daniel,Barnes,818093693,Male,1963-03-27,5,2
Deborah,Bean,780814486,Male,1972-04-20,6,2
Joseph,Horton,895787992,Female,1944-02-21,4,4
Julie,Kelley,263347859,Female,1946-03-01,5,9
Michelle,Guerra,884435554,Female,1997-12-29,4,2
Tracy,Brown,267389158,Male,1969-03-03,6,10
Karen,Miller,924354777,Male,1988-05-11,5,5
Brandon,Curtis,300095174,Male,1956-09-16,4,8
Shawn,Ward,942955061,Female,1983-01-13,6,2
Patrick,Harrison,680951081,Male,1971-06-04,4,1
Linda,Johnson,537286641,Female,1989-11-01,4,11
Kelly,Drake,116503354,Female,1964-06-02,4,6
Bethany,Morris,548394964,Female,1954-08-03,4,0
Tina,Turner,966384278,Female,1958-08-27,5,11
Carlos,Bailey,700095035,Female,1945-01-17,5,2
Joshua,Lewis,188938774,Female,1963-10-14,5,9
Michael,Lee,226608954,Male,1968-10-18,6,1
Justin,Clayton,986030705,Female,1995-01-10,4,2
Brandon,Armstrong,980420605,Male,2007-01-02,6,1
Jesse,Hurst,459151643,Female,1977-08-11,4,11
Raven,Lee,273227031,Female,1977-02-08,6,0
Pamela,Liu,739985214,Female,1976-01-21,5,7
Kimberly,Kim,310831971,Female,1995-06-02,6,5
Michele,Martinez,446584422,Male,1977-04-27,6,7
Claudia,Kennedy,610662097,Male,1980-01-27,5,1
Steven,Morgan,100198333,Male,1960-02-18,6,7
Andrew,Park,927756625,Male,1995-09-23,4,9
Gary,Zuniga,337099825,Female,1974-02-20,5,0
Jade,Rodriguez,670627798,Male,1947-05-10,4,7
Ronald,Arnold,311524272,Male,1954-12-01,4,0
Cameron,Gomez,703166715,Male,1977-11-07,4,11
Karen,Cooper,113068143,Female,1964-03-10,6,10
Wayne,Mann,704944371,Male,1976-02-16,4,7
Kevin,Figueroa,437881398,Female,1994-06-25,6,0
David,Li,913995524,Female,1956-10-23,5,10
Matthew,Leonard,614256107,Female,1959-11-17,5,4
Alexis,Mccoy,227790038,Male,1965-09-02,4,4
Angela,Harrell,393002305,Female,1968-02-04,6,11
Timothy,Ryan,669288885,Female,1968-06-27,6,6
Gregory,Taylor,682681073,Male,1978-10-05,5,5
James,Reyes,801831458,Male,1955-05-19,4,9
Melinda,Moore,223758975,Female,1968-05-08,4,4
Natalie,Smith,605768692,Female,1989-03-19,4,10
David,Klein,527917463,Male,1986-10-15,5,5
Jonathan,Frazier,773603380,Female,1980-05-14,5,5
Emily,Newman,634926192,Female,1957-05-01,4,10
Samuel,Sherman,311964675,Male,1959-11-28,6,1
Sabrina,Olsen,293615378,Female,1991-04-01,6,3
Kenneth,Clayton,549878560,Male,1985-07-26,5,10
Lisa,Thomas,997704250,Male,1980-12-24,5,7
Derek,Davis,924318187,Male,1962-05-19,6,9
Eddie,Jones,463376863,Female,1950-08-25,6,8
Richard,Abbott,617092700,Male,1963-03-14,5,1
Michael,Zavala,790855535,Male,1998-12-04,4,4
Kari,James,258046727,Male,1946-03-13,6,2
Jennifer,Freeman,174049046,Male,1993-07-23,4,6
